
Version        Name                                                                                                           Vendor                                  InstallState IdentifyingNumber                     
-------        ----                                                                                                           ------                                  ------------ -----------------                     
3.11.1701      WiX Toolset v3.11 Core                                                                                         .NET Foundation                                    5 {BE29D74E-D1BD-4C2C-AE77-28DBF21ADF2D}
3.11.1701      WiX Toolset v3.11 Managed SDK                                                                                  .NET Foundation                                    5 {1687DE99-C1E0-4ABF-9927-86C76881384A}
3.11.1701      WiX Toolset v3.11 Native 2010 SDK                                                                              .NET Foundation                                    5 {2F3878B7-BBA1-42C9-8BD6-FBD5F503EEA0}
3.11.1701      WiX Toolset v3.11 Native 2012 SDK                                                                              .NET Foundation                                    5 {BEB03623-D85D-47F3-BA9E-25240B369844}
3.11.1701      WiX Toolset v3.11 Native 2013 SDK                                                                              .NET Foundation                                    5 {A7A1BEF0-3FC4-4ABE-B53E-B2A408D35078}
3.11.1701      WiX Toolset v3.11 Native 2015 SDK                                                                              .NET Foundation                                    5 {CC25B514-E503-49E7-B2E9-4C39F46D6809}
3.11.1701      WiX Toolset v3.11 Native 2017 SDK                                                                              .NET Foundation                                    5 {5505FDEE-6EE0-4E4A-998A-BF2B3E0FF862}
3.11.1701      WiX Toolset v3.11 X64                                                                                          .NET Foundation                                    5 {49716A89-4B0A-43AD-9D43-54364FBA6077}
5.24.2402      ActivePerl 5.24.1 Build 2402                                                                                   ActiveState                                        5 {5748AA71-21DF-4BC1-AA94-ACD955F163E3}
1.11.75        AWS Command Line Interface                                                                                     Amazon Web Services Developer Relations            5 {F390373C-C6E9-48D5-A46E-98B7C99C9893}
3.14.1704.0716 AWS Tools for Windows                                                                                          Amazon Web Services Developer Relations            5 {1B55BA92-CEBE-45E1-A463-9796981625B2}
1.8.17         Subversion                                                                                                     CollabNet                                          5 {5A8BA143-C9F1-4ED5-A3ED-6C19974A099B}
3.15.1         CMake                                                                                                          Kitware                                            5 {5D21CF7B-5208-4704-9E4F-BD0C7B1337BD}
4.1.1          Mercurial 4.1.1 (x64)                                                                                          Matt Mackall and others                            5 {9590468B-7D73-4A9A-816A-947485BE44C8}
10.1.15063.468 Application Verifier x64 External Package                                                                      Microsoft                                          5 {2D7C1671-6F3D-2AA7-DAA3-91C96B60B919}
10.1.15063.674 Application Verifier x64 External Package                                                                      Microsoft                                          5 {F02CC6FE-37FC-3D47-F961-721D85BAF224}
