
Version         Name                                                                          Vendor                                  InstallState IdentifyingNumber                     
-------         ----                                                                          ------                                  ------------ -----------------                     
3.11.2318       WiX Toolset v3.11 Core                                                        .NET Foundation                                    5 {766AD270-A684-43D6-AF9A-74165C9B5796}
3.11.2318       WiX Toolset v3.11 Managed SDK                                                 .NET Foundation                                    5 {8741DFD5-F995-431E-B216-B2795489CD32}
3.11.2318       WiX Toolset v3.11 Native 2010 SDK                                             .NET Foundation                                    5 {A68173CF-C68F-4878-A1A1-3AD0A286D38A}
3.11.2318       WiX Toolset v3.11 Native 2012 SDK                                             .NET Foundation                                    5 {4BE5F965-07C0-429C-95F4-B4F318308992}
3.11.2318       WiX Toolset v3.11 Native 2013 SDK                                             .NET Foundation                                    5 {C2D03307-22FC-4E0A-80B5-6C7C76EAA3F7}
3.11.2318       WiX Toolset v3.11 Native 2015 SDK                                             .NET Foundation                                    5 {0A433F1C-9502-46C4-81A1-FE04B1EC6D7E}
3.11.2318       WiX Toolset v3.11 Native 2017 SDK                                             .NET Foundation                                    5 {E065026D-88AD-4568-9C97-E28DD376507A}
3.11.2318       WiX Toolset v3.11 X64                                                         .NET Foundation                                    5 {AA06E868-267F-47FB-86BC-D3D62305D7F4}
1.16.258        AWS Command Line Interface                                                    Amazon Web Services Developer Relations            5 {22F8B6FD-7DE8-4BD2-B8C3-21C1000C72A1}
1.8.17          Subversion                                                                    CollabNet                                          5 {5A8BA143-C9F1-4ED5-A3ED-6C19974A099B}
77.0.3865.120   Google Chrome                                                                 Google LLC                                         5 {6A6D3422-8127-3867-A83C-56B555636ECA}
3.15.1          CMake                                                                         Kitware                                            5 {5D21CF7B-5208-4704-9E4F-BD0C7B1337BD}
4.1.1           Mercurial 4.1.1 (x64)                                                         Matt Mackall and others                            5 {9590468B-7D73-4A9A-816A-947485BE44C8}
10.1.16299.15   Application Verifier x64 External Package                                     Microsoft                                          5 {D9908CED-5ABB-FEE9-FC84-743F4D38637C}
10.1.17134.12   Application Verifier x64 External Package                                     Microsoft                                          5 {62CB44B2-8007-DBB2-1CBA-5CB7309EB3C3}
10.1.17763.132  Application Verifier x64 External Package                                     Microsoft                                          5 {B27BC1FC-8474-9E32-73C2-6F7CD58AD1E3}
10.1.18362.1    Application Verifier x64 External Package                                     Microsoft                                          5 {10CA1677-8F02-3131-F25C-780BAB52E468}
8.100.26936     Application Verifier x64 External Package                                     Microsoft                                          5 {77F3D72C-465F-BD51-890E-CC3914B1365F}
10.1.17763.1    Imaging Tools Support                                                         Microsoft                                          5 {A8D1FB0D-D923-75CE-F7CF-5C6C498C2038}
10.1.18362.1    Kits Configuration Installer                                                  Microsoft                                          5 {63AAA877-5536-9481-2385-28A082100D78}
8.100.25984     Kits Configuration Installer                                                  Microsoft                                          5 {B74E65FD-CC47-41C5-4B89-791A3F61942D}
0.1.7116.41799  Microsoft SQL Server Reporting Services                                       Microsoft                                          5 {C859D1CE-B243-4280-A965-0F5EE89D3976}
16.0.0.2845608  Microsoft TestPlatform SDK Local Feed                                         Microsoft                                          5 {D04C8E3E-659E-4B61-8AE6-CD0DA496A4F2}
15.9.11         Microsoft UniversalWindowsPlatform SDK                                        Microsoft                                          5 {111EA02F-B08D-42ED-ADA5-E2A4B58815E5}
16.0.28329      Microsoft Windows Communication Foundation Diagnostic Pack for x86            Microsoft                                          5 {FE825C68-D0CC-3FC8-9C03-64DAC75D90A7}
16.0.28329      Microsoft Workflow Debugger v1.0 for amd64                                    Microsoft                                          5 {6CCDB628-F4C8-3091-A76A-731A8A97868D}
16.0.28329      Microsoft Workflow Debugger v1.0 for x86                                      Microsoft                                          5 {02805F9F-3A14-3EE7-B6A2-1F5D6E946572}
16.0.28329      Microsoft Workflow Diagnostic Pack for x64                                    Microsoft                                          5 {517F40B3-0DF1-3CEA-8E38-E3E515DACE4F}
10.1.17763.1    Minimal WLPC Content                                                          Microsoft                                          5 {17C7E38C-CDE7-6CC8-532B-FCBAF133F1CE}
10.1.18362.1    Minimal WLPC Content                                                          Microsoft                                          5 {5A12DC60-4F2E-5F1F-B7DD-1B957C2620D3}
10.1.18362.1    OEM Test Certificates                                                         Microsoft                                          5 {DB789F11-7F0F-C7F8-AF6F-357C44090C38}
8.100.26936     WPT Redistributables                                                          Microsoft                                          5 {64F3FB9A-9250-B2D6-00B4-50BE0358AEE8}
8.100.26936     WPTx64                                                                        Microsoft                                          5 {BFF81CB5-E8C7-4184-FBB4-74ADFBC6CCCB}
15.0.1300.359   Active Directory Authentication Library for SQL Server                        Microsoft Corporation                              5 {6BF11ECE-3CE8-4FBA-991A-1F55AA6BE5BF}
14.0.1000.169   Browser for SQL Server 2017                                                   Microsoft Corporation                              5 {CF8EEB96-E7E7-4EF7-A0A1-559F09953156}
4.8.03928       ClickOnce Bootstrapper Package for Microsoft .NET Framework                   Microsoft Corporation                              5 {5FD1DF50-FBB1-4888-8F8F-4ECDC78909C4}
16.1.28901      DiagnosticsHub_CollectionService                                              Microsoft Corporation                              5 {1F3C3AAC-9F7A-47DA-A082-0ACE770041BE}
6.2.0.0         Entity Framework 6.2.0 Tools  for Visual Studio 2019                          Microsoft Corporation                              5 {C4105EB5-5C16-40C4-93DF-66DE6584D26E}
16.3.29110      icecap_collection_neutral                                                     Microsoft Corporation                              5 {7BB0BF1D-3021-45DC-912E-9DAB74F486C0}
16.3.29110      icecap_collection_x64                                                         Microsoft Corporation                              5 {0B880F5C-ECD4-4FC6-81A7-46C40ECA0B8C}
16.3.29110      icecap_collectionresources                                                    Microsoft Corporation                              5 {AA259EEE-7819-4440-A995-F5E156BD988C}
16.1.28829      icecap_collectionresourcesx64                                                 Microsoft Corporation                              5 {112C7251-6110-40E3-8FE7-7D0F53D96995}
10.0.03203      IIS 10.0 Express                                                              Microsoft Corporation                              5 {643F2A3F-960C-4914-BD67-9490B4484108}
15.0.18198.01   IntelliTraceProfilerProxy                                                     Microsoft Corporation                              5 {7D94CF67-6666-4111-B027-D7AB7F189F70}
15.0.18198.01   IntelliTraceProfilerProxy                                                     Microsoft Corporation                              5 {1C92D642-AD8C-4319-8E7B-5D6AA55F430B}
3.0.0.014277    Microsoft .NET Core 3.0 Templates (x64)                                       Microsoft Corporation                              5 {54FEB781-093A-48CF-A1BA-F6AD55A0B3FF}
